"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"LYTHRACEAE","Cuphea racemosa  (L.f.) Spreng.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LYTHRACEAE","Lafoensia nummularifolia A.St.-Hil.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"LYTHRACEAE","Lafoensia pacari A.St.-Hil.","dedaleiro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MAGNOLIACEAE","Magnolia ovata (A.St.-Hil.)  Spreng.","magnólia-do-brejo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Banisteriopsis sp 1",NA,"41167","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Banisteriopsis sp 2",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Byrsonima coccolobifolia Kunth","murici",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Byrsonima guilleminiana A.Juss.*","murici","41110","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Byrsonima intermedia A.Juss.","murici","41159,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Heteropterys  sp.",NA,"41169","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALPIGHIACEAE","Malpighia sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Abutilon sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Guazuma  ulmifolia Lam.","mutambo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Luehea candicans Mart. & Zucc.*","açoita-cavalo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Luehea divaricata Mart. & Zucc.*","açoita-cavalo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Luehea grandiflora Mart. & Zucc.*","açoita-cavalo-do-","41139","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Pseudobombax grandiflorum (Cav.) A.Robyns*","embiruçu",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MALVACEAE","Waltheria sp.",NA,"41174","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Acisanthera alsinaefolia (DC.) Triana","quaresmeira-do-brejo","41163","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Leandra lacunosa Cogn.*",NA,"41109,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Leandra melastomoides Raddi*",NA,"41157","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Leandra sp.",NA,"41138","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia albicans (Sw.) Triana","quaresmeira-branca","41125","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia chamissois Naudin.","folha-de-bolo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia ligustroides (DC.) Naudin","jacatirão-do-brejo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia sp.1",NA,"41094","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia sp.2",NA,"41105","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia sp.3",NA,"41131","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Miconia theaezans (Bonpl.) Cogn.","jacatirão-branco",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Microlicia isophylla DC.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Tibouchina gracilis (Bonpl.) Cogn.*","quaresmeira-do-brejo","41162","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Tibouchina granulosa (Desr.) Cogn.*","quaresmeira-roxa",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELASTOMATACEAE","Tibouchina sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
